home,away,home_seed,away_seed,home_W,away_W,home_net,away_net,home_off,away_off,home_def,away_def,home_pace,away_pace,home_exp,away_exp,rest_diff,target,games
DEN,POR,3,6,47,42,5.3,0.8,114.3,116.8,109.0,116.0,97.3,101.2,5,3,0,1,6
LAL,PHO,2,7,42,51,2.4,5.2,113.6,116.0,111.2,110.8,99.0,100.6,7,4,0,0,6
LAC,DAL,4,5,47,42,3.8,1.2,115.4,113.5,111.6,112.3,97.6,98.4,6,4,0,1,7
MIL,ORL,1,8,56,33,9.3,-2.1,115.7,109.0,106.4,111.1,100.2,96.0,4,2,0,1,5
TOR,BRK,2,7,53,35,7.4,-1.8,113.7,112.7,106.3,114.5,98.2,98.2,5,3,0,1,4
BOS,PHI,3,6,48,43,5.0,0.8,112.3,112.0,107.3,111.2,97.4,98.4,5,4,0,1,4
LAL,POR,1,8,52,35,6.9,-2.5,113.7,114.7,106.8,117.2,99.7,99.9,7,3,0,1,5
LAC,DAL,2,7,49,43,5.5,1.3,116.0,115.4,110.5,114.1,97.4,97.6,6,4,0,1,6
DEN,UTA,3,6,46,44,3.2,3.2,113.3,114.6,110.1,111.4,97.6,97.4,4,3,0,1,7
HOU,OKC,4,5,44,44,1.8,1.0,117.0,113.3,115.2,112.3,103.3,100.6,5,2,0,0,7
MIL,DET,1,8,60,41,8.2,-1.4,114.0,111.4,105.8,112.8,99.8,97.8,3,4,0,1,4
TOR,ORL,2,7,58,42,7.6,-0.2,114.4,107.9,106.8,108.1,98.4,95.2,4,2,0,1,5
BOS,IND,4,5,49,48,3.2,3.6,109.0,113.2,105.8,109.6,96.4,99.0,5,3,0,0,7
GSW,LAC,1,8,57,48,8.4,2.6,115.9,115.0,107.5,112.4,100.2,96.4,9,5,0,1,6
DEN,SAS,2,7,54,48,6.5,1.5,114.0,113.0,107.5,111.5,97.1,97.4,4,8,0,1,7
HOU,UTA,3,6,53,50,5.2,3.8,115.9,111.4,110.7,107.6,103.3,98.0,5,3,0,1,5
POR,OKC,3,6,53,49,5.1,2.3,115.8,112.5,110.7,110.2,101.3,100.6,3,3,0,1,6
TOR,WAS,1,8,59,43,8.1,1.3,112.6,113.2,104.5,111.9,98.2,100.8,3,5,0,1,6
CLE,IND,4,5,50,48,2.2,1.2,111.8,110.8,109.6,109.6,98.7,99.2,7,2,0,1,7
GSW,SAS,1,8,58,47,11.4,2.6,113.6,108.9,102.2,106.3,100.7,96.7,8,9,0,1,4
HOU,MIN,2,7,65,47,9.3,0.2,116.4,113.2,107.1,113.0,102.9,96.6,5,1,0,1,5
POR,NOP,3,6,49,48,3.5,2.8,109.8,112.1,106.3,109.3,97.6,99.4,3,3,0,0,6
OKC,UTA,4,5,48,48,4.1,4.3,110.4,108.9,106.3,104.6,98.6,97.2,4,2,0,0,6
BOS,CHI,1,8,53,41,6.1,-0.5,108.0,111.1,101.9,111.6,95.8,97.8,5,5,0,1,6
WAS,ATL,4,5,49,43,2.2,1.8,108.4,108.9,106.2,107.1,97.4,97.8,4,4,0,1,6
GSW,POR,1,8,67,41,11.6,0.6,115.9,110.4,104.3,109.8,102.1,100.8,7,3,0,1,4
SAS,MEM,2,7,61,43,9.0,1.1,110.5,109.1,101.5,108.0,96.8,99.4,9,3,0,1,4
HOU,OKC,3,6,55,47,5.6,1.7,113.0,110.8,107.4,109.1,102.7,98.8,4,3,0,1,5
UTA,LAC,5,4,51,51,5.2,4.6,108.3,111.2,103.1,106.6,96.2,96.5,2,5,0,1,7
CLE,DET,1,8,57,44,6.0,-0.4,110.9,109.7,104.9,110.1,98.0,98.4,5,4,0,1,4
ATL,BOS,3,6,48,48,2.4,0.5,107.8,108.1,105.4,107.6,96.1,94.6,4,4,0,0,6
GSW,HOU,1,8,73,41,11.0,-0.6,114.5,113.1,103.5,113.7,99.3,102.7,7,4,0,1,5
SAS,MEM,2,7,67,42,10.7,0.4,110.0,108.4,99.3,108.0,96.4,98.7,9,2,0,1,4
OKC,DAL,3,6,55,42,6.5,-1.5,110.5,107.9,104.0,109.4,98.2,96.0,4,5,0,1,5
POR,LAC,5,4,44,53,0.4,5.2,109.0,113.1,108.6,107.9,97.9,96.6,3,5,0,0,6
CLE,BOS,2,7,53,40,4.4,0.0,108.0,105.8,103.6,105.8,96.5,95.0,5,4,0,1,4
ATL,BRK,1,8,60,38,8.9,-3.6,109.1,104.9,100.2,108.5,96.6,97.6,4,2,0,1,6
CHI,MIL,3,6,50,41,3.5,0.1,104.9,106.2,101.4,106.1,93.5,96.5,5,2,0,1,6
GSW,NOP,1,8,67,45,10.1,1.3,111.6,109.8,101.5,108.5,98.6,100.2,5,3,0,1,4
MEM,POR,2,7,55,51,6.0,4.2,103.8,109.8,97.8,105.6,93.0,96.2,4,3,0,1,4
HOU,DAL,2,7,56,50,5.4,3.1,108.9,107.1,103.5,104.0,99.5,96.0,4,5,0,1,5
SAS,LAC,3,6,55,56,5.6,6.2,109.0,110.6,103.4,104.4,96.5,96.8,9,5,0,0,7
